sessionID,formId,totalKeyInputs,totalTimeSpentOnPage,averageTimePerField,browser_width,browser_height,pixel_ratio,user_agent,platform,language,timezone,mousespeed_sd,keystroke_sd
hjk2svr53,login-form,4,2155,1077.5,1920,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Win32,en-US,GMT+8,304.82768661884666,131.99326582148888
hjk2svr53,login-form,4,1586,793,896,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Win32,en-US,GMT+8,438.3335474507153,158.40033669997885
hjk2svr53,login-form,4,6917,6917,896,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,57.24993934979805
hjk2svr53,login-form,4,9889,9889,896,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Win32,en-US,GMT+8,359.0963645843172,16.110727964792762
hjk2svr53,login-form,7,13825,6912.5,896,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Win32,en-US,GMT+8,241.06187623076343,269.3711297736926
hjk2svr53,login-form,4,17092,8546,896,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Win32,en-US,GMT+8,264.8953410703024,70.75937315217602
hjk2svr53,login-form,8,2789,1394.5,896,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,216.33298219105072
hjk2svr53,login-form,4,2825,1412.5,896,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Win32,en-US,GMT+8,212.43661893771352,301.0142115508096
hjk2svr53,login-form,8,2351,1175.5,896,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Win32,en-US,GMT+8,113.08140215739769,97.42019235020541
hjk2svr53,login-form,9,4077,4077,896,919,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Win32,en-US,GMT+8,0,247.1941291778589
